uniqu.name.id,group.nd.name,variants_count,variants_joined,collab_n,collab_start_week,collab_end_week
76,NCT 쟈니,4,NCT 쟈니 | 엔시티 쟈니 | 쟈니 NCT | 쟈니 엔시티,1,2024-W04,2024-W13
76,NCT 쟈니,4,NCT 쟈니 | 엔시티 쟈니 | 쟈니 NCT | 쟈니 엔시티,2,2024-W30,2024-W39
77,NCT 정우,4,NCT 정우 | 엔시티 정우 | 정우 NCT | 정우 엔시티,1,2024-W04,2024-W13
77,NCT 정우,4,NCT 정우 | 엔시티 정우 | 정우 NCT | 정우 엔시티,2,2024-W30,2024-W39
78,NCT 제노,4,NCT 제노 | 엔시티 제노 | 제노 NCT | 제노 엔시티,1,2024-W17,2024-W21
78,NCT 제노,4,NCT 제노 | 엔시티 제노 | 제노 NCT | 제노 엔시티,2,2024-W45,2025-W08
78,NCT 제노,4,NCT 제노 | 엔시티 제노 | 제노 NCT | 제노 엔시티,3,2025-W30,2025-W39
79,NCT 지성,4,NCT 지성 | 엔시티 지성 | 지성 NCT | 지성 엔시티,1,2024-W17,2024-W21
79,NCT 지성,4,NCT 지성 | 엔시티 지성 | 지성 NCT | 지성 엔시티,2,2024-W45,2025-W08
79,NCT 지성,4,NCT 지성 | 엔시티 지성 | 지성 NCT | 지성 엔시티,3,2025-W30,2025-W39
80,NCT 천러,4,NCT 천러 | 엔시티 천러 | 천러 NCT | 천러 엔시티,1,2024-W17,2024-W21
80,NCT 천러,4,NCT 천러 | 엔시티 천러 | 천러 NCT | 천러 엔시티,2,2024-W45,2025-W08
80,NCT 천러,4,NCT 천러 | 엔시티 천러 | 천러 NCT | 천러 엔시티,3,2025-W30,2025-W39
81,NCT 쿤,4,NCT 쿤 | 엔시티 쿤 | 쿤 NCT | 쿤 엔시티,1,2024-W31,2024-W39
81,NCT 쿤,4,NCT 쿤 | 엔시티 쿤 | 쿤 NCT | 쿤 엔시티,2,2025-W33,2025-W39
82,NCT 태용,4,NCT 태용 | 엔시티 태용 | 태용 NCT | 태용 엔시티,1,2024-W04,2024-W13
83,NCT 태일,4,NCT 태일 | 엔시티 태일 | 태일 NCT | 태일 엔시티,1,2024-W04,2024-W13
83,NCT 태일,4,NCT 태일 | 엔시티 태일 | 태일 NCT | 태일 엔시티,2,2024-W30,2024-W34
84,NCT 텐,4,NCT 텐 | 엔시티 텐 | 텐 NCT | 텐 엔시티,1,2024-W31,2024-W39
84,NCT 텐,4,NCT 텐 | 엔시티 텐 | 텐 NCT | 텐 엔시티,2,2025-W13,2025-W15
84,NCT 텐,4,NCT 텐 | 엔시티 텐 | 텐 NCT | 텐 엔시티,3,2025-W33,2025-W39
85,NCT 해찬,4,NCT 해찬 | 엔시티 해찬 | 해찬 NCT | 해찬 엔시티,1,2024-W04,2024-W13
85,NCT 해찬,4,NCT 해찬 | 엔시티 해찬 | 해찬 NCT | 해찬 엔시티,2,2024-W17,2024-W21
85,NCT 해찬,4,NCT 해찬 | 엔시티 해찬 | 해찬 NCT | 해찬 엔시티,3,2024-W30,2024-W39
85,NCT 해찬,4,NCT 해찬 | 엔시티 해찬 | 해찬 NCT | 해찬 엔시티,4,2024-W45,2025-W08
85,NCT 해찬,4,NCT 해찬 | 엔시티 해찬 | 해찬 NCT | 해찬 엔시티,5,2025-W30,2025-W49
86,NCT 헨드리,4,NCT 헨드리 | 엔시티 헨드리 | 헨드리 NCT | 헨드리 엔시티,1,2024-W31,2024-W39
87,RYUL,1,RYUL,1,2025-W46,2025-W48
88,TIOT 금준현,4,TIOT 금준현 | 금준현 TIOT | 금준현 티아이오티 | 티아이오티 금준현,1,2024-W16,2024-W18
88,TIOT 금준현,4,TIOT 금준현 | 금준현 TIOT | 금준현 티아이오티 | 티아이오티 금준현,2,2025-W16,2025-W18
89,TIOT 김민성,4,TIOT 김민성 | 김민성 TIOT | 김민성 티아이오티 | 티아이오티 김민성,1,2024-W16,2024-W18
89,TIOT 김민성,4,TIOT 김민성 | 김민성 TIOT | 김민성 티아이오티 | 티아이오티 김민성,2,2025-W16,2025-W18
90,TIOT 신예찬,4,TIOT 신예찬 | 신예찬 TIOT | 신예찬 티아이오티 | 티아이오티 신예찬,1,2024-W16,2024-W18
90,TIOT 신예찬,4,TIOT 신예찬 | 신예찬 TIOT | 신예찬 티아이오티 | 티아이오티 신예찬,2,2025-W16,2025-W18
91,TIOT 최우진,4,TIOT 최우진 | 최우진 TIOT | 최우진 티아이오티 | 티아이오티 최우진,1,2024-W16,2024-W18
91,TIOT 최우진,4,TIOT 최우진 | 최우진 TIOT | 최우진 티아이오티 | 티아이오티 최우진,2,2025-W16,2025-W18
92,TIOT 홍건희,4,TIOT 홍건희 | 티아이오티 홍건희 | 홍건희 TIOT | 홍건희 티아이오티,1,2024-W16,2024-W18
92,TIOT 홍건희,4,TIOT 홍건희 | 티아이오티 홍건희 | 홍건희 TIOT | 홍건희 티아이오티,2,2025-W16,2025-W18
93,VANNER 곤,4,VANNER 곤 | 곤 VANNER | 곤 배너 | 배너 곤,1,2024-W06,2024-W07
94,VANNER 성국,4,VANNER 성국 | 배너 성국 | 성국 VANNER | 성국 배너,1,2024-W06,2024-W07
94,VANNER 성국,4,VANNER 성국 | 배너 성국 | 성국 VANNER | 성국 배너,2,2025-W45,2025-W47
95,VANNER 영광,4,VANNER 영광 | 배너 영광 | 영광 VANNER | 영광 배너,1,2024-W06,2024-W08
96,VANNER 태환,4,VANNER 태환 | 배너 태환 | 태환 VANNER | 태환 배너,1,2024-W06,2024-W07
